name,E_gap,M,A,R1,R2,R3,sLi,ssBe,ssssBe,ssBH,sssB,ssssB,sCH3,dCH2,ssCH2,tCH,dsCH,aaCH,sssCH,ddC,tsC,dssC,aasC,aaaC,ssssC,sNH3,sNH2,ssNH2,dNH,ssNH,aaNH,tN,sssNH,dsN,aaN,sssN,ddsN,aasN,ssssN,sOH,dO,ssO,aaO,sF,sSiH3,ssSiH2,sssSiH,ssssSi,sPH2,ssPH,sssP,dsssP,sssssP,sSH,dS,ssS,aaS,dssS,ddssS,sCl,sGeH3,ssGeH2,sssGeH,ssssGe,sAsH2,ssAsH,sssAs,sssdAs,sssssAs,sSeH,dSe,ssSe,aaSe,dssSe,ddssSe,sBr,sSnH3,ssSnH2,sssSnH,ssssSn,sI,sPbH3,ssPbH2,sssPbH,ssssPb,Rot_A,ZnP,TiOP,TiO2RP,FZnP,FH2P,FTiOP,FTiO2RP,H2P
C76H46F8N6O8Zn,2.991209966,FZnP,EthynFuA,MOTPA,EthynPhM,MOTPA,0,0,0,0,0,0,8.261549585,0,0,0,0,75.11369871,0,0,13.4127665,-1.196235864,14.53055823,5.429958967,0,0,0,0,0,0,7.52601353,0,0,0,10.87554622,4.3415891,0,0,0,9.76742583,11.95383487,27.64848162,5.668146049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
C75H59N7O5,3.267371347,H2P,EthynFuA,DTA,MOTPA,DTA,0,0,0,0,0,0,11.69218296,0,0,0,0,78.22038356,0,0,6.530689128,-1.181894738,16.48143431,5.71131365,0,0,0,0,0,0,7.783003526,0,0,0,11.24730731,6.691459531,0,0,0,9.798102402,11.9885268,11.16510022,5.70572468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
C75H57N7O6Ti,3.204731078,TiOP,EthynFuA,DTA,MOTPA,DTA,0,0,0,0,0,0,11.69218296,0,0,0,0,78.22038356,0,0,6.530689128,-1.181894738,16.48143431,5.71131365,0,0,0,0,0,0,7.783003526,0,0,0,11.24730731,6.691459531,0,0,0,9.798102402,11.9885268,11.16510022,5.70572468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
C82H61N7O8Ti,3.042230948,TiO2RP,EthynFuA,DTA,MOTPA,DTA,0,0,0,0,0,0,11.69218296,0,0,0,0,78.22038356,0,0,6.530689128,-1.181894738,16.48143431,5.71131365,0,0,0,0,0,0,7.783003526,0,0,0,11.24730731,6.691459531,0,0,0,9.798102402,11.9885268,11.16510022,5.70572468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
C75H49F8N7O6Ti,3.190572852,FTiOP,EthynFuA,DTA,MOTPA,DTA,0,0,0,0,0,0,11.69218296,0,0,0,0,78.22038356,0,0,6.530689128,-1.181894738,16.48143431,5.71131365,0,0,0,0,0,0,7.783003526,0,0,0,11.24730731,6.691459531,0,0,0,9.798102402,11.9885268,11.16510022,5.70572468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
C75H57N7O5Zn,3.326324891,ZnP,EthynFuA,DTA,MOTPA,DTA,0,0,0,0,0,0,11.69218296,0,0,0,0,78.22038356,0,0,6.530689128,-1.181894738,16.48143431,5.71131365,0,0,0,0,0,0,7.783003526,0,0,0,11.24730731,6.691459531,0,0,0,9.798102402,11.9885268,11.16510022,5.70572468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
C75H49F8N7O5Zn,2.999526558,FZnP,EthynFuA,DTA,MOTPA,DTA,0,0,0,0,0,0,11.69218296,0,0,0,0,78.22038356,0,0,6.530689128,-1.181894738,16.48143431,5.71131365,0,0,0,0,0,0,7.783003526,0,0,0,11.24730731,6.691459531,0,0,0,9.798102402,11.9885268,11.16510022,5.70572468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
C64H48N6O4,3.518658778,H2P,EthynFuA,DTA,EthynPhM,DTA,0,0,0,0,0,0,9.960428971,0,0,0,0,60.62970159,0,0,13.46315329,-1.178638928,12.58080497,5.545185657,0,0,0,0,0,0,7.588214145,0,0,0,10.95381288,4.427903618,0,0,0,9.701866593,11.86935447,5.471252739,5.653626679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
C64H46N6O5Ti,3.441808832,TiOP,EthynFuA,DTA,EthynPhM,DTA,0,0,0,0,0,0,9.960428971,0,0,0,0,60.62970159,0,0,13.46315329,-1.178638928,12.58080497,5.545185657,0,0,0,0,0,0,7.588214145,0,0,0,10.95381288,4.427903618,0,0,0,9.701866593,11.86935447,5.471252739,5.653626679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
C71H50N6O7Ti,3.339382051,TiO2RP,EthynFuA,DTA,EthynPhM,DTA,0,0,0,0,0,0,9.960428971,0,0,0,0,60.62970159,0,0,13.46315329,-1.178638928,12.58080497,5.545185657,0,0,0,0,0,0,7.588214145,0,0,0,10.95381288,4.427903618,0,0,0,9.701866593,11.86935447,5.471252739,5.653626679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
